step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
423,64,10.918131852378128,1.984375,6,0
424,62,11.188915221687763,1.7258064516129032,6,0
425,60,10.88092908186682,1.8,5,0
426,60,10.68104261897511,1.85,5,0
427,60,10.561090205608616,1.9,4,0
428,59,10.285371700766014,2.0,4,0
429,58,10.388368329871,2.1206896551724137,5,0
430,58,10.694895499775203,2.2241379310344827,6,0
431,57,10.590774058301088,2.3684210526315788,6,0
432,57,10.767191807607384,2.473684210526316,6,0
433,57,11.026984467803658,2.5789473684210527,6,0
434,56,11.120765405064924,2.642857142857143,5,0
435,56,11.058616528236499,2.4642857142857144,4,0
436,54,10.839662916408066,1.1851851851851851,2,0
437,53,10.871761863588262,0.18867924528301888,2,0
438,52,11.069250287016384,0.057692307692307696,2,0
439,52,11.274425229172998,0.11538461538461539,3,0
440,51,11.20351250823322,0.13725490196078433,2,0
441,50,10.924466648529405,0.22,4,0
442,49,10.498914358243404,0.2857142857142857,4,0
443,49,10.348027679048895,0.3673469387755102,4,0
444,49,10.789031754682796,0.2857142857142857,3,0
445,48,11.2084854232036,0.20833333333333334,3,0
446,47,11.357858816360539,0.14893617021276595,2,0
447,47,11.558799724875316,0.06382978723404255,1,0
448,47,11.988970820128685,0.0,0,0
449,46,12.37905527115835,0.0,0,0
450,46,12.44446503995229,0.0,0,0
451,46,12.316675457746339,0.0,0,0
452,43,12.385289072024522,0.0,0,0
453,42,12.221325430547143,0.0,0,0
454,42,11.593773627505609,0.0,0,0
455,42,11.533712531984174,0.0,0,0
456,41,11.242440316274335,0.0,0,0
457,40,11.56351515806021,0.0,0,0
458,39,12.291128673336349,0.0,0,0
459,39,12.414152457492795,0.0,0,0
460,39,12.659634583348986,0.0,0,0
461,39,12.973911901477548,0.0,0,0
462,38,13.456027709312039,0.0,0,0
463,38,13.62523828399964,0.0,0,0
464,38,13.26392100524601,0.0,0,0
465,38,13.022014640430104,0.0,0,0
466,37,12.751171298345719,0.0,0,0
467,35,12.885544961091455,0.0,0,0
468,34,13.168226651162863,0.0,0,0
469,33,13.231015415543931,0.0,0,0
470,33,13.14984603621793,0.0,0,0
471,33,13.3123347967114,0.0,0,0
472,33,13.371918822957422,0.0,0,0
473,32,13.218959536550994,0.0,0,0
474,31,13.080577715678215,0.0,0,0
475,30,12.703514042742963,0.0,0,0
476,29,13.208566348499668,0.0,0,0
477,29,13.403445120682754,0.0,0,0
478,29,13.193148941764223,0.0,0,0
479,29,12.976813686331823,0.0,0,0
480,26,13.754208419336736,0.0,0,0
481,26,13.87116840749971,0.0,0,0
482,25,14.278839466263198,0.0,0,0
483,25,14.779825580254943,0.0,0,0
484,25,15.02468417803197,0.0,0,0
485,25,14.964455067532365,0.0,0,0
486,24,14.94071754403926,0.0,0,0
487,24,14.892777104296455,0.0,0,0
488,23,14.741267871940337,0.0,0,0
489,23,14.458712046732616,0.0,0,0
490,22,14.285329208515295,0.0,0,0
491,21,13.38726185909875,0.0,0,0
492,21,13.20160882231302,0.0,0,0
493,20,13.169703090043914,0.0,0,0
494,20,12.87832472251058,0.0,0,0
495,20,12.894569061480453,0.0,0,0
496,20,12.998686055824525,0.0,0,0
497,19,13.56090155941591,0.0,0,0
498,19,13.717778186674076,0.0,0,0
499,17,13.936367600084104,0.0,0,0
500,16,13.587518097985335,0.0,0,0
501,16,13.183685751416022,0.0,0,0
502,15,13.816079074724833,0.0,0,0
503,14,13.671574758232941,0.0,0,0
504,14,12.8677100281878,0.0,0,0
505,14,12.656332592277659,0.0,0,0
506,13,12.652811677286245,0.0,0,0
507,13,12.077354489921971,0.0,0,0
508,13,11.51166050138154,0.0,0,0
509,13,10.975573083774172,0.0,0,0
510,12,10.916494900044617,0.0,0,0
511,12,10.809760306687009,0.0,0,0
512,12,11.058698005208244,0.0,0,0
513,12,10.78827565902575,0.0,0,0
514,12,10.220739923208525,0.0,0,0
515,12,10.210598195695228,0.0,0,0
516,12,11.003957485474738,0.0,0,0
517,12,11.571787636122073,0.0,0,0
518,12,11.986048490510035,0.0,0,0
519,12,12.482929006834391,0.0,0,0
520,12,12.808132810796453,0.0,0,0
521,11,13.302881368589674,0.0,0,0
522,11,12.808509924339795,0.0,0,0
523,11,12.976253476865509,0.0,0,0
524,10,11.512691492840533,0.0,0,0
525,9,11.957608017332285,0.0,0,0
526,9,11.602422080867427,0.0,0,0
527,9,11.68651640730916,0.0,0,0
528,8,11.591068082498815,0.0,0,0
529,8,11.597142553321909,0.0,0,0
530,8,11.526890619367325,0.0,0,0
531,8,11.839785338206081,0.0,0,0
532,7,12.600061944999922,0.0,0,0
533,7,12.951551367054112,0.0,0,0
534,7,13.257983714551992,0.0,0,0
535,7,14.353025239304802,0.0,0,0
536,7,15.412294399892543,0.0,0,0
537,7,16.59494701492859,0.0,0,0
538,7,16.954383757163797,0.0,0,0
539,7,16.9533596680804,0.0,0,0
540,7,16.62323507905783,0.0,0,0
541,7,16.419175931934852,0.0,0,0
542,7,15.752645061116059,0.0,0,0
543,6,15.914350046119134,0.0,0,0
544,6,15.102943315991398,0.0,0,0
545,6,14.309024495868385,0.0,0,0
546,6,14.478176804288411,0.0,0,0
547,6,14.858230606639102,0.0,0,0
548,6,16.10197419860246,0.0,0,0
549,6,16.14513658753519,0.0,0,0
550,6,16.021297246947224,0.0,0,0
551,6,15.845428540897771,0.0,0,0
552,6,14.785531392975466,0.0,0,0
553,5,14.256987472379937,0.0,0,0
554,5,14.113201948342047,0.0,0,0
555,5,15.058939540485406,0.0,0,0
556,5,16.160421217364746,0.0,0,0
557,5,17.115694578584925,0.0,0,0
558,5,17.66287095553865,0.0,0,0
559,5,18.37323531704181,0.0,0,0
560,5,19.371448252656826,0.0,0,0
561,5,19.38118385882658,0.0,0,0
562,5,18.10035292591226,0.0,0,0
563,5,15.801948260537134,0.0,0,0
564,5,12.58018749628993,0.0,0,0
565,5,10.188650761510264,0.0,0,0
566,5,8.927367900584743,0.0,0,0
567,5,8.719085091005006,0.0,0,0
568,4,8.152770400771402,0.0,0,0
569,4,7.495044523560094,0.0,0,0
570,4,7.261938575617496,0.0,0,0
571,4,8.27210970889035,0.0,0,0
572,4,9.090720491812409,0.0,0,0
573,4,8.788668401151549,0.0,0,0
574,4,7.550601912299243,0.0,0,0
575,3,5.910282803835179,0.0,0,0
576,3,4.93451657373734,0.0,0,0
577,3,3.265471202938105,0.0,0,0
578,3,4.084438141796839,0.0,0,0
579,3,4.996697107937515,0.0,0,0
580,3,5.065294803400404,0.0,0,0
581,2,8.88085226017363,0.0,0,0
582,2,10.123840882691685,0.0,0,0
583,2,8.197596350554008,0.0,0,0
584,2,8.77578259816822,0.0,0,0
585,2,8.41733920562277,0.0,0,0
586,2,9.726925831238837,0.0,0,0
587,2,10.683728528462447,0.0,0,0
588,2,11.93331603239952,0.0,0,0
589,2,13.084587972538642,0.0,0,0
590,2,14.04174073645732,0.0,0,0
591,2,14.015811739371891,0.0,0,0
592,2,14.214276948628285,0.0,0,0
593,2,13.438243960646249,0.0,0,0
594,1,15.220119854460089,0.0,0,0
595,1,15.220946563595525,0.0,0,0
596,1,15.352646870120978,0.0,0,0
597,1,15.492191215117082,0.0,0,0
598,1,15.391214691173836,0.0,0,0
599,1,15.641641746625854,0.0,0,0
600,1,15.025491519390224,0.0,0,0
601,1,13.979771316869517,0.0,0,0
602,1,9.479771316869517,0.0,0,0
603,1,5.957802736250082,0.0,0,0
